placeholder,type,name,met
"pl","Sports","Children’s games, adults playing  (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball,  tetherball, marbles, jacks, arcade games), moderate effort",5.8,
"pl","Sports","Cheerleading, gymnastic moves, competitive",6.0,
"pl","Sports","Coaching, football, soccer, basketball, baseball, swimming, etc.",4.0,
"pl","Sports","Coaching, actively playing sport with players",8.0,
"pl","Sports","Cricket, batting, bowling, fielding",4.8,
"pl","Sports","Croquet",3.3,
"pl","Sports","Curling",4.0,
"pl","Sports","Darts, wall or lawn",2.5,
"pl","Sports","Drag racing, pushing or driving a car",6.0,
"pl","Sports","Auto racing, open wheel",8.5,
"pl","Sports","Futsal",7.8,
"pl","Sports","Fencing, general",6.0,
"pl","Sports","Fencing, epee, competitive",9.8,
"pl","Sports","Floorball",10.5,
"pl","Sports","Football, competitive",8.0,
"pl","Sports","Football, touch, flag, general (Taylor Code 510)",8.0,
"pl","Sports","Football, touch, flag, light effort",4.0,
"pl","Sports","Football or baseball, playing catch",2.5,
"pl","Sports","Frisbee playing, general",3.0,
"pl","Sports","Frisbee, ultimate",8.0,
"pl","Sports","Frisbee golf",3.8,
"pl","Sports","Golf, general",4.5,
"pl","Sports","Golf, walking, carrying clubs",4.3,
"pl","Sports","Golf, miniature, driving range",3.5,
"pl","Sports","Golf, walking, pulling clubs",4.5,
"pl","Sports","Golf, using power cart (Taylor Code 070)",3.5,
"pl","Sports","Gymnastics, general",3.8,
"pl","Sports","Hacky sack",4.0,
"pl","Sports","Handball, general (Taylor Code 520)",12.0,
"pl","Sports","Handball, team",8.0,
"pl","Sports","High ropes course, multiple elements",4.0,
"pl","Sports","Hang gliding",3.5,
"pl","Sports","Hockey, field",7.8,
"pl","Sports","Hockey, ice, general",8.0,
"pl","Sports","Hockey, ice, competitive",10.0,
"pl","Sports","Horseback riding, general",5.5,
"pl","Sports","Horse grooming, maintenance, saddling tasks",4.5,
"pl","Sports","Horseback riding, trotting",5.8,
"pl","Sports","Horseback riding, canter or gallop",7.3,
"pl","Sports","Horseback riding, walking",3.8,
"pl","Sports","Horseback riding, jumping",9.0,
"pl","Sports","Horseback riding, reining",6.0,
"pl","Sports","Horseback riding, simulator",2.1,
"pl","Sports","Horse cart, driving, standing or sitting",1.8,
"pl","Sports","Horseshoe pitching, quoits",3.0,
"pl","Sports","Jai alai",12.0,
"pl","Sports","Martial Arts, different types, slower pace, novice performers, practice",5.3,
"pl","Sports","Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)",10.3,
"pl","Sports","Taekwondo, combat simulation",14.3,
"pl","Sports","Judo ",11.3,
"pl","Sports","Juggling",4.0,
"pl","Sports","Kendo, kihon-keiko style, moderate intensity",6.5,
"pl","Sports","Kendo, kirikaeshi style, high intensity",9.6,
"pl","Sports","Kendo, kakari keiko style, very high intensity",11.3,
"pl","Sports","Kickball",7.0,
"pl","Sports","Kung Fu Gymnastics",5.5,
"pl","Sports","Kickboxing",7.3,
"pl","Sports","Lacrosse",8.0,
"pl","Sports","Lawn bowling, bocce ball, outdoor",3.3,
"pl","Sports","Motocross, off-road motor sports, all-terrain vehicle, general",4.0,
"pl","Sports","Motorcycle racing, Supormoto racing",5.3,
"pl","Sports","Netball",7.0,
"pl","Sports","Orienteering",9.0,
"pl","Sports","Paddleball, competitive",10.0,
"pl","Sports","Paddleball, casual, general (Taylor Code 460)",6.0,
"pl","Sports","Paragliding, moderate altitude",1.8,
"pl","Sports","Prusik climbing",6.5,
"pl","Sports","Polo, on horseback",8.0,
"pl","Sports","Racquetball, competitive",10.0,
"pl","Sports","Race Walking, 3.1 m/s (6.9 mph)",10.3,
"pl","Sports","Race Walking, 3.7 m/s (8.3 mph)",13.8,
"pl","Sports","Race Walking, racing speed, 4.0 m/s (8.95 mph)",15.5,
"pl","Sports","Racquetball, general (Taylor Code 470)",7.0,
"pl","Sports","Rock or mountain climbing (Taylor Code 060), (formerly code 17120)",8.0,
"pl","Sports","Rock climbing, free boulder",8.8,
"pl","Sports","Rock climbing, ascending rock, high difficulty",7.3,
"pl","Sports","Rock climbing, speed climbing, very difficult",10.5,
"pl","Sports","Rock climbing, ascending or traversing rock, low-to-moderate difficulty",5.8,
"pl","Sports","Rock climbing, treadwall, 4-6 m/min",10.5,
"pl","Sports","Rock climbing, treadwall, 7-10 m/min",10.5,
"pl","Sports","Rock climbing, rappelling,",5.0,
"pl","Sports","Rodeo sports, general, light effort",4.0,
"pl","Sports","Rodeo sports, general, moderate effort",5.5,
"pl","Sports","Rodeo sports, general, vigorous effort",7.0,
"pl","Sports","Rope jumping, fast pace, 120-160 skips/min",12.3,
"pl","Sports","Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce",11.8,
"pl","Sports","Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce",8.3,
"pl","Sports","Rope jumping, double under or more",10.0,
"pl","Sports","Rugby, union, team, competitive",8.3,
"pl","Sports","Rugby, touch, non-competitive",6.3,
"pl","Sports","Shuffleboard",3.0,
"pl","Sports","Skateboarding, general, moderate effort",5.0,
"pl","Sports","Skateboarding, competitive, vigorous effort",6.0,
"pl","Sports","Skating, roller (Taylor Code 360)",7.0,
"pl","Sports","Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace",7.5,
"pl","Sports","Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training",9.8,
"pl","Sports","Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training",12.3,
"pl","Sports","Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort",15.5,
"pl","Sports","Skateboard, longboard, 13.3 km/h, slow speed",6.8,
"pl","Sports","Skateboard, longboard, 16.2 km/h, typical speed",8.3,
"pl","Sports","Skateboard, longboard, 18.4 km/h, fast speed",10.5,
"pl","Sports","Skydiving, base-jumping, bungee jumping",3.5,
"pl","Sports","Soccer, competitive",9.5,
"pl","Sports","Soccer, casual, general (Taylor Code 540)",7.0,
"pl","Sports","Walking football/soccer",3.5,
"pl","Sports","Softball or baseball, fast or slow pitch, general, moderate effort (Taylor Code 440)",5.0,
